tile,site_id,col_off,row_off,width,height,ulx,uly,pixel_size,crs
UK014_r00000_c00000,UK014,0,0,640,640,546578.75,175949.25,0.25,EPSG:27700
UK014_r00000_c00120,UK014,120,0,640,640,546608.75,175949.25,0.25,EPSG:27700
