tile,site_id,col_off,row_off,width,height,ulx,uly,pixel_size,crs
UK007_r00000_c00000,UK007,0,0,640,640,413040.75,287764.0,0.25,EPSG:27700
UK007_r00168_c00000,UK007,0,168,640,640,413040.75,287722.0,0.25,EPSG:27700
