                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.8982,                 1.0262,                 1.0039,                0.91283,                0.89394,                0.94831,                0.46244,                 1.8482,                0.88508,                0.90512,             0.00045111,             0.00045111,             0.00045111
                     36,                 1.7252,                0.82196,                0.95064,                0.91283,                0.89394,                0.94831,                0.46244,                 1.8482,                0.88508,                0.90512,             0.00045745,             0.00045745,             0.00045745
                     37,                 1.7863,                0.84624,                0.96829,                0.91169,                0.89024,                0.93857,                0.48277,                 1.7724,                0.87746,                0.89544,             0.00046339,             0.00046339,             0.00046339
                     38,                 1.6995,                0.82769,                0.94358,                0.91169,                0.89024,                0.93857,                0.48277,                 1.7724,                0.87746,                0.89544,             0.00046894,             0.00046894,             0.00046894
                     39,                  1.925,                0.96114,                0.93759,                0.91222,                0.88717,                0.94398,                0.48932,                 1.7552,                0.87342,                0.89433,             0.00047409,             0.00047409,             0.00047409
                     40,                 1.9787,                0.93774,                0.96789,                0.91222,                0.88717,                0.94398,                0.48932,                 1.7552,                0.87342,                0.89433,             0.00047884,             0.00047884,             0.00047884
                     41,                 1.8048,                0.82928,                0.94663,                0.90896,                0.87805,                0.94171,                0.49037,                 1.7673,                0.85819,                0.89647,              0.0004832,              0.0004832,              0.0004832
                     42,                 2.0305,                0.82549,                0.93132,                0.90896,                0.87805,                0.94171,                0.49037,                 1.7673,                0.85819,                0.89647,             0.00048716,             0.00048716,             0.00048716
                     43,                 1.8068,                0.87894,                0.98296,                0.92142,                0.85802,                0.94245,                0.48463,                 1.7671,                0.84361,                0.89644,             0.00049073,             0.00049073,             0.00049073
                     44,                 1.6559,                 0.8171,                0.91581,                0.92142,                0.85802,                0.94245,                0.48463,                 1.7671,                0.84361,                0.89644,              0.0004939,              0.0004939,              0.0004939
                     45,                 1.7142,                0.81849,                0.92965,                0.92183,                0.86287,                0.93997,                0.47131,                 1.7854,                0.82875,                0.89954,             0.00049667,             0.00049667,             0.00049667
                     46,                 1.7724,                 0.9514,                0.95553,                0.92183,                0.86287,                0.93997,                0.47131,                 1.7854,                0.82875,                0.89954,             0.00049905,             0.00049905,             0.00049905
                     47,                 1.6459,                0.81536,                 0.9116,                0.89895,                0.86791,                0.94402,                0.46834,                 1.7942,                0.82402,                0.90029,             0.00050103,             0.00050103,             0.00050103
                     48,                 1.6767,                0.84146,                0.91049,                0.89895,                0.86791,                0.94402,                0.46834,                 1.7942,                0.82402,                0.90029,             0.00050262,             0.00050262,             0.00050262
                     49,                 1.6291,                0.81891,                0.93471,                0.87851,                 0.8819,                0.94837,                0.48068,                 1.7722,                0.81463,                0.89613,             0.00050381,             0.00050381,             0.00050381
                     50,                 1.7059,                0.79212,                0.92035,                0.87851,                 0.8819,                0.94837,                0.48068,                 1.7722,                0.81463,                0.89613,              0.0005046,              0.0005046,              0.0005046
