tile,site_id,col_off,row_off,width,height,ulx,uly,pixel_size,crs
UK029_r00000_c00000,UK029,0,0,640,640,329845.75,136747.75,0.25,EPSG:27700
UK029_r00040_c00000,UK029,0,40,640,640,329845.75,136737.75,0.25,EPSG:27700
