                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.5415,                 1.1647,                0.93696,                0.65468,                0.69767,                0.71962,                0.38322,                 1.6071,                 1.2011,                0.97349,              0.0013268,              0.0013268,              0.0013268
                     36,                 1.5354,                 1.2178,                0.92778,                0.70044,                0.73837,                0.76832,                0.40053,                 1.6159,                 1.1853,                0.97154,               0.001307,               0.001307,               0.001307
                     37,                 1.5096,                 1.1264,                0.94317,                0.67647,                0.72093,                0.76721,                0.40148,                 1.6337,                 1.1456,                0.99107,              0.0012872,              0.0012872,              0.0012872
                     38,                 1.5106,                 1.2284,                0.93582,                0.69855,                 0.6686,                0.75836,                0.39822,                 1.6522,                 1.1959,                0.97817,              0.0012674,              0.0012674,              0.0012674
                     39,                 1.5008,                 1.1571,                0.91727,                0.68245,                0.77326,                0.75572,                0.40841,                 1.5701,                 1.1813,                0.96992,              0.0012476,              0.0012476,              0.0012476
                     40,                 1.5277,                 1.1444,                0.95267,                0.71568,                0.72674,                 0.7451,                0.41769,                 1.5565,                 1.1473,                0.95312,              0.0012278,              0.0012278,              0.0012278
                     41,                 1.5324,                 1.1306,                0.94178,                0.73634,                0.63372,                0.74654,                0.39178,                 1.6103,                 1.1918,                0.96761,               0.001208,               0.001208,               0.001208
                     42,                 1.5151,                 1.1127,                0.92309,                0.65824,                0.78488,                0.76414,                 0.3953,                 1.6433,                 1.1418,                0.97313,              0.0011882,              0.0011882,              0.0011882
                     43,                  1.508,                 1.1803,                 0.9542,                0.76583,                0.72255,                 0.7849,                0.42292,                 1.6281,                 1.0964,                0.96562,              0.0011684,              0.0011684,              0.0011684
                     44,                 1.4915,                 1.1208,                0.93222,                0.70564,                0.71079,                0.77175,                 0.4267,                 1.5441,                 1.0924,                0.95957,              0.0011486,              0.0011486,              0.0011486
                     45,                 1.4909,                 1.1255,                0.92612,                0.69265,                0.70752,                0.74252,                0.40397,                 1.6263,                 1.1413,                0.96278,              0.0011288,              0.0011288,              0.0011288
                     46,                 1.4625,                 1.0567,                0.90787,                0.76116,                0.77907,                0.78431,                0.40897,                 1.6087,                 1.0985,                0.96791,               0.001109,               0.001109,               0.001109
                     47,                 1.4514,                 1.0568,                0.90806,                0.75029,                0.72674,                0.74755,                0.40138,                 1.6224,                 1.1484,                0.96325,              0.0010892,              0.0010892,              0.0010892
                     48,                 1.5123,                 1.1428,                  0.915,                0.77133,                0.74524,                0.79533,                0.45218,                 1.5443,                 1.0894,                0.94616,              0.0010694,              0.0010694,              0.0010694
                     49,                 1.4602,                 1.0792,                0.92131,                0.75927,                0.69767,                 0.7719,                0.41811,                 1.5787,                 1.1162,                0.96118,              0.0010496,              0.0010496,              0.0010496
                     50,                 1.4776,                 1.0823,                0.92185,                0.71215,                 0.7093,                0.77046,                0.43458,                  1.566,                 1.1044,                0.95113,              0.0010298,              0.0010298,              0.0010298
                     51,                 1.4398,                 1.0749,                 0.9119,                0.74362,                0.70826,                0.79312,                0.44447,                 1.5493,                  1.098,                0.95245,                0.00101,                0.00101,                0.00101
                     52,                 1.4401,                 1.0437,                0.91791,                0.73822,                0.74419,                 0.8027,                0.44217,                  1.548,                 1.1359,                0.94708,              0.0009902,              0.0009902,              0.0009902
                     53,                 1.4673,                 1.0571,                0.92445,                 0.7306,                0.73837,                0.79344,                0.45681,                 1.5148,                 1.0819,                0.94447,              0.0009704,              0.0009704,              0.0009704
                     54,                 1.4342,                 1.0433,                0.91923,                0.77429,                0.73796,                0.80703,                0.44237,                 1.5737,                 1.0986,                0.95824,              0.0009506,              0.0009506,              0.0009506
                     55,                 1.3992,                 1.0197,                0.89494,                0.78818,                0.73556,                0.80142,                 0.4454,                 1.5908,                 1.1049,                0.96155,              0.0009308,              0.0009308,              0.0009308
                     56,                 1.4618,                 1.0038,                0.91399,                0.80659,                 0.6686,                0.80314,                 0.4494,                 1.5707,                 1.0765,                 0.9623,               0.000911,               0.000911,               0.000911
                     57,                 1.4077,                0.99567,                0.90251,                 0.7915,                0.75039,                0.80143,                0.44378,                 1.5606,                 1.1303,                0.96263,              0.0008912,              0.0008912,              0.0008912
                     58,                 1.4025,                 1.0149,                 0.9073,                0.76216,                0.77326,                0.80007,                0.45447,                 1.4914,                 1.0424,                 0.9366,              0.0008714,              0.0008714,              0.0008714
                     59,                 1.4269,                 1.0056,                0.89642,                0.83222,                0.72098,                0.81925,                0.45534,                 1.5658,                 1.0924,                  0.942,              0.0008516,              0.0008516,              0.0008516
                     60,                 1.4229,                 1.0025,                0.91293,                0.82782,                0.72093,                0.80082,                0.45775,                  1.528,                 1.0898,                0.94528,              0.0008318,              0.0008318,              0.0008318
                     61,                 1.4597,                  1.012,                 0.9203,                0.76727,                0.74755,                0.80907,                0.46251,                 1.5375,                 1.0652,                0.94875,               0.000812,               0.000812,               0.000812
                     62,                 1.4095,                0.96262,                0.91275,                0.77885,                0.75763,                 0.8094,                0.43692,                 1.5935,                 1.0433,                0.95457,              0.0007922,              0.0007922,              0.0007922
                     63,                 1.3843,                0.95639,                0.89317,                 0.7679,                0.75016,                0.79321,                0.44187,                 1.5319,                 1.1049,                0.94428,              0.0007724,              0.0007724,              0.0007724
                     64,                 1.3793,                0.95278,                0.90723,                0.72015,                0.72674,                0.78255,                0.44101,                 1.5466,                  1.183,                0.94931,              0.0007526,              0.0007526,              0.0007526
                     65,                 1.4199,                0.98494,                0.91262,                0.74624,                 0.7352,                0.76938,                0.41857,                 1.5719,                 1.1173,                0.95271,              0.0007328,              0.0007328,              0.0007328
